# wave[microns] transmission[e/photon]
4.01600 0.000022986853
4.02180 0.000023036801
4.02760 0.000023086750
4.03340 0.000023136698
4.03920 0.000023186647
4.04500 0.000023236595
4.05080 0.000023286544
4.05660 0.000023336492
4.06240 0.000023386441
4.06820 0.000023436389
4.07400 0.000023486338
4.07980 0.000023536286
4.08560 0.000023586235
4.09140 0.000023636183
4.09720 0.000023686132
4.10300 0.000023736080
4.10880 0.000023786028
4.11460 0.000023835977
4.12040 0.000023885925
4.12620 0.000023935874
4.13200 0.000023985822
4.13780 0.000024035771
4.14360 0.000024085719
4.14940 0.000024135668
4.15520 0.000024185616
4.16100 0.000024235565
4.16680 0.000024285513
4.17260 0.000024335462
4.17840 0.000024385410
4.18420 0.000024435359
4.19000 0.000024485307
4.19580 0.000024535256
4.20160 0.000024585204
4.20740 0.000024635152
4.21320 0.000024685101
4.21900 0.000024735049
4.22480 0.000024784998
4.23060 0.000024834946
4.23640 0.000024884895
4.24220 0.000024934843
4.24800 0.000024984792
4.25380 0.000025034740
4.25960 0.000025084689
4.26540 0.000025134637
4.27120 0.000025184586
4.27700 0.000025234534
4.28280 0.000025284483
4.28860 0.000025334431
4.29440 0.000025384380
4.30020 0.000025434328
4.30600 0.000025484276
4.31180 0.000025534225
4.31760 0.000025584173
4.32340 0.000025634122
4.32920 0.000025684070
4.33500 0.000025734019
4.34080 0.000025783967
4.34660 0.000025833916
4.35240 0.000025883864
4.35820 0.000025933813
4.36400 0.000025983761
4.36980 0.000026033710
4.37560 0.000026083658
4.38140 0.000026133607
4.38720 0.000026183555
4.39300 0.000026233504
4.39880 0.000026283452
4.40460 0.000026333400
4.41040 0.000026383349
4.41620 0.000026433297
4.42200 0.000026483246
4.42780 0.000026533194
4.43360 0.000026583143
4.43940 0.000026633091
4.44520 0.000026683040
4.45100 0.000026732988
4.45680 0.000026782937
4.46260 0.000026832885
4.46840 0.000026882834
4.47420 0.000026932782
4.48000 0.000026982731
4.48580 0.000027032679
4.49160 0.000027082628
4.49740 0.000027132576
4.50320 0.000027176746
4.50900 0.000027216222
4.51480 0.000027255697
4.52060 0.000027295172
4.52640 0.000027334648
4.53220 0.000027374123
4.53800 0.000027413599
4.54380 0.000027453074
4.54960 0.000027492549
4.55540 0.000027532025
4.56120 0.000027571500
4.56700 0.000027610976
4.57280 0.000027650451
4.57860 0.000027689926
4.58440 0.000027729402
4.59020 0.000027768877
4.59600 0.000027808353
4.60180 0.000027847828
4.60760 0.000027887303
4.61340 0.000027926779
4.61920 0.000027966254
4.62500 0.000028005730
4.63080 0.000028045205
4.63660 0.000028084681
4.64240 0.000028124156
4.64820 0.000028163631
4.65400 0.000028203107
4.65980 0.000028242582
4.66560 0.000028282058
4.67140 0.000028321533
4.67720 0.000028361008
4.68300 0.000028400484
4.68880 0.000028439959
4.69460 0.000028479435
4.70040 0.000028518910
4.70620 0.000028558385
4.71200 0.000028597861
4.71780 0.000028637336
4.72360 0.000028676812
4.72940 0.000028716287
4.73520 0.000028755762
4.74100 0.000028795238
4.74680 0.000028834713
4.75260 0.000028874189
4.75840 0.000028913664
4.76420 0.000028953139
4.77000 0.000028992615
4.77580 0.000029032090
4.78160 0.000029071566
4.78740 0.000029111041
4.79320 0.000029150516
4.79900 0.000029189992
4.80480 0.000029229467
4.81060 0.000029268943
4.81640 0.000029308418
4.82220 0.000029347893
4.82800 0.000029387369
4.83380 0.000029426844
4.83960 0.000029466320
4.84540 0.000029505795
4.85120 0.000029545270
4.85700 0.000029584746
4.86280 0.000029624221
4.86860 0.000029663697
4.87440 0.000029703172
4.88020 0.000029742647
4.88600 0.000029782123
4.89180 0.000029821598
4.89760 0.000029861074
4.90340 0.000029900549
4.90920 0.000029940025
4.91500 0.000029979500
4.92080 0.000030018975
4.92660 0.000030058451
4.93240 0.000030097926
4.93820 0.000030137402
4.94400 0.000030176877
4.94980 0.000030216352
4.95560 0.000030255828
4.96140 0.000030295303
4.96720 0.000030334779
4.97300 0.000030374254
4.97880 0.000030413729
4.98460 0.000030453205
4.99040 0.000030492680
4.99620 0.000030532156
5.00200 0.000030577743
5.00780 0.000030634942
5.01360 0.000030692141
5.01940 0.000030749340
5.02520 0.000030806539
5.03100 0.000030863738
5.03680 0.000030920937
5.04260 0.000030978136
5.04840 0.000031035335
5.05420 0.000031092534
5.06000 0.000031149733
5.06580 0.000031206932
5.07160 0.000031264131
5.07740 0.000031321330
5.08320 0.000031378529
5.08900 0.000031435728
5.09480 0.000031492927
5.10060 0.000031550127
5.10640 0.000031607326
5.11220 0.000031664525
5.11800 0.000031721724
5.12380 0.000031778923
5.12960 0.000031836122
5.13540 0.000031893321
5.14120 0.000031950520
5.14700 0.000032007719
5.15280 0.000032064918
5.15860 0.000032122117
5.16440 0.000032179316
5.17020 0.000032236515
5.17600 0.000032293714
5.18180 0.000032350913
5.18760 0.000032408112
5.19340 0.000032465311
5.19920 0.000032522510
5.20500 0.000032579710
5.21080 0.000032636909
5.21660 0.000032694108
5.22240 0.000032751307
5.22820 0.000032808506
5.23400 0.000032865705
5.23980 0.000032922904
5.24560 0.000032980103
5.25140 0.000033037302
5.25720 0.000033094501
5.26300 0.000033151700
5.26880 0.000033208899
5.27460 0.000033266098
5.28040 0.000033323297
5.28620 0.000033380496
5.29200 0.000033437695
5.29780 0.000033494894
5.30360 0.000033552093
5.30940 0.000033609293
5.31520 0.000033666492
5.32100 0.000033723691
5.32680 0.000033780890
5.33260 0.000033838089
5.33840 0.000033895288
5.34420 0.000033952487
5.35000 0.000034009686
5.35580 0.000034066885
5.36160 0.000034124084
5.36740 0.000034181283
5.37320 0.000034238482
5.37900 0.000034295681
5.38480 0.000034352880
5.39060 0.000034410079
5.39640 0.000034467278
5.40220 0.000034524477
5.40800 0.000034581676
5.41380 0.000034638875
5.41960 0.000034696075
5.42540 0.000034753274
5.43120 0.000034810473
5.43700 0.000034867672
5.44280 0.000034924871
5.44860 0.000034982070
5.45440 0.000035039269
5.46020 0.000035096468
5.46600 0.000035153667
5.47180 0.000035210866
5.47760 0.000035268065
5.48340 0.000035325264
5.48920 0.000035382463
5.49500 0.000035439662
5.50080 0.000035495861
5.50660 0.000035545810
5.51240 0.000035595758
5.51820 0.000035645707
5.52400 0.000035695655
5.52980 0.000035745604
5.53560 0.000035795552
5.54140 0.000035845501
5.54720 0.000035895449
5.55300 0.000035945397
5.55880 0.000035995346
5.56460 0.000036045294
5.57040 0.000036095243
5.57620 0.000036145191
5.58200 0.000036195140
5.58780 0.000036245088
5.59360 0.000036295037
5.59940 0.000036344985
5.60520 0.000036394934
5.61100 0.000036444882
5.61680 0.000036494831
5.62260 0.000036544779
5.62840 0.000036594728
5.63420 0.000036644676
5.64000 0.000036694625
5.64580 0.000036744573
5.65160 0.000036794521
5.65740 0.000036844470
5.66320 0.000036894418
5.66900 0.000036944367
5.67480 0.000036994315
5.68060 0.000037044264
5.68640 0.000037094212
5.69220 0.000037144161
5.69800 0.000037194109
5.70380 0.000037244058
5.70960 0.000037294006
5.71540 0.000037343955
5.72120 0.000037393903
5.72700 0.000037443852
5.73280 0.000037493800
5.73860 0.000037543749
5.74440 0.000037593697
5.75020 0.000037643645
5.75600 0.000037693594
5.76180 0.000037743542
5.76760 0.000037793491
5.77340 0.000037843439
5.77920 0.000037893388
5.78500 0.000037943336
5.79080 0.000037993285
5.79660 0.000038043233
5.80240 0.000038093182
5.80820 0.000038143130
5.81400 0.000038193079
5.81980 0.000038243027
5.82560 0.000038292976
5.83140 0.000038342924
5.83720 0.000038392873
5.84300 0.000038442821
5.84880 0.000038492769
5.85460 0.000038542718
5.86040 0.000038592666
5.86620 0.000038642615
5.87200 0.000038692563
5.87780 0.000038742512
5.88360 0.000038792460
5.88940 0.000038842409
5.89520 0.000038892357
5.90100 0.000038942306
5.90680 0.000038992254
5.91260 0.000039042203
5.91840 0.000039092151
5.92420 0.000039142100
5.93000 0.000039192048
5.93580 0.000039241997
5.94160 0.000039291945
5.94740 0.000039341893
5.95320 0.000039391842
5.95900 0.000039441790
5.96480 0.000039491739
5.97060 0.000039541687
5.97640 0.000039591636
5.98220 0.000039641584
5.98800 0.000039691533
5.99380 0.000039741481
5.99960 0.000039791430
6.00540 0.000039822627
6.01120 0.000039852435
6.01700 0.000039882243
6.02280 0.000039912051
